date,Name,uint32__upTime
2024-02-14 11:19:31.772240,OBC_0,32.0
2024-02-14 11:19:32.185654,OBC_0,32.0
2024-02-14 11:19:32.598949,OBC_0,32.0
2024-02-14 11:19:33.036153,OBC_0,32.0
2024-02-14 11:19:38.855058,OBC_0,62.0
2024-02-14 11:19:39.355712,OBC_0,62.0
2024-02-14 11:19:40.043948,OBC_0,62.0
2024-02-14 11:19:40.463890,OBC_0,62.0
2024-02-14 11:20:15.498914,OBC_0,92.0
2024-02-14 11:20:16.099930,OBC_0,92.0
2024-02-14 11:20:16.706576,OBC_0,92.0
2024-02-14 11:20:17.328870,OBC_0,92.0
2024-02-14 11:20:17.909778,OBC_0,92.0
2024-02-14 11:20:28.284027,OBC_0,122.0
2024-02-14 11:20:28.636749,OBC_0,122.0
2024-02-14 11:20:28.978726,OBC_0,122.0
2024-02-14 11:20:29.405338,OBC_0,122.0
2024-02-14 11:20:29.751926,OBC_0,122.0
2024-02-14 11:24:56.465764,OBC_0,62.0
2024-02-14 11:24:58.776180,OBC_0,122.0
2024-02-14 11:25:01.487457,OBC_0,32.0
2024-02-14 11:25:04.983767,OBC_0,152.0
2024-02-14 11:25:05.300205,OBC_0,152.0
2024-02-15 12:43:32.384791,OBC_0,32.0
2024-02-15 12:43:33.969221,OBC_0,32.0
2024-02-15 12:43:35.442044,OBC_0,32.0
2024-02-15 12:43:36.925493,OBC_0,32.0
2024-02-15 12:43:50.395904,OBC_0,32.0
2024-02-15 12:43:50.733695,OBC_0,32.0
2024-02-15 12:44:15.840564,OBC_0,62.0
2024-02-15 12:44:16.188432,OBC_0,62.0
2024-02-15 12:44:16.562425,OBC_0,62.0
2024-02-15 12:44:21.777335,OBC_0,62.0
2024-02-15 12:44:22.145327,OBC_0,62.0
2024-02-15 12:44:22.514767,OBC_0,62.0
2024-02-15 12:44:25.249269,OBC_0,32.0
2024-02-15 12:44:25.638158,OBC_0,32.0
2024-02-15 12:44:26.030718,OBC_0,32.0
2024-02-15 12:44:35.282680,OBC_0,62.0
2024-02-15 12:44:35.646092,OBC_0,62.0
2024-02-15 12:44:36.015047,OBC_0,62.0
2024-02-15 12:44:51.535802,OBC_0,152.0
2024-02-15 12:44:51.925556,OBC_0,152.0
2024-02-15 12:44:52.294138,OBC_0,152.0
2024-02-15 12:45:37.498852,OBC_0,62.0
2024-02-15 12:45:37.868597,OBC_0,62.0
2024-02-15 12:45:38.228603,OBC_0,62.0
2024-02-15 12:45:42.672322,OBC_0,32.0
2024-02-15 12:45:43.097960,OBC_0,32.0
2024-02-15 12:45:43.508788,OBC_0,32.0
2024-02-15 12:45:55.911542,OBC_0,92.0
2024-02-15 12:45:56.319351,OBC_0,92.0
2024-02-15 12:45:56.740548,OBC_0,92.0
2024-02-15 12:45:57.184322,OBC_0,92.0
2024-02-15 12:46:04.388467,OBC_0,122.0
2024-02-15 12:46:04.793357,OBC_0,122.0
2024-02-15 12:46:05.203680,OBC_0,122.0
2024-02-15 12:46:05.620783,OBC_0,122.0
2024-02-15 12:46:14.441066,OBC_0,32.0
2024-02-15 12:46:14.869262,OBC_0,32.0
2024-02-15 12:46:15.330591,OBC_0,32.0
2024-02-15 12:46:15.732052,OBC_0,32.0
2024-02-15 12:46:21.431211,OBC_0,62.0
2024-02-15 12:46:21.874354,OBC_0,62.0
2024-02-15 12:46:22.299043,OBC_0,62.0
2024-02-15 12:46:22.731652,OBC_0,62.0
2024-02-15 12:46:51.905130,OBC_0,92.0
2024-02-15 12:46:52.374991,OBC_0,92.0
2024-02-15 12:46:52.803671,OBC_0,92.0
2024-02-15 12:46:53.263351,OBC_0,92.0
2024-02-15 12:46:53.690301,OBC_0,92.0
2024-02-15 12:47:03.094596,OBC_0,122.0
2024-02-15 12:47:03.551433,OBC_0,122.0
2024-02-15 12:47:04.004906,OBC_0,122.0
2024-02-15 12:47:04.543278,OBC_0,122.0
2024-02-15 12:47:05.035675,OBC_0,122.0
2024-02-15 12:47:52.404208,OBC_0,62.0
2024-02-15 12:47:55.148328,OBC_0,122.0
2024-02-15 12:47:58.433922,OBC_0,32.0
2024-02-15 12:48:03.350589,OBC_0,152.0
2024-02-15 12:48:03.802155,OBC_0,152.0
2024-02-15 12:48:54.461102,OBC_0,62.0
2024-02-15 12:48:54.896490,OBC_0,62.0
2024-02-15 12:48:55.315060,OBC_0,62.0
2024-02-15 12:49:59.952427,OBC_0,92.0
2024-02-15 12:50:00.396423,OBC_0,92.0
2024-02-15 12:50:00.809118,OBC_0,92.0
2024-02-15 12:50:01.213821,OBC_0,92.0
2024-02-15 12:50:04.927316,OBC_0,32.0
2024-02-15 12:50:05.352607,OBC_0,32.0
2024-02-15 12:50:05.777952,OBC_0,32.0
2024-02-15 12:50:06.189732,OBC_0,32.0
2024-02-15 12:50:08.301702,OBC_0,62.0
2024-02-15 12:50:08.720842,OBC_0,62.0
2024-02-15 12:50:09.115483,OBC_0,62.0
2024-02-15 12:50:09.574940,OBC_0,62.0
2024-02-15 12:50:18.161246,OBC_0,92.0
2024-02-15 12:50:18.586561,OBC_0,92.0
2024-02-15 12:50:18.986930,OBC_0,92.0
2024-02-15 12:50:19.411411,OBC_0,92.0
2024-02-15 12:50:23.400738,OBC_0,32.0
2024-02-15 12:50:23.796983,OBC_0,32.0
2024-02-15 12:50:24.217514,OBC_0,32.0
2024-02-15 12:50:24.652159,OBC_0,32.0
2024-02-15 12:50:35.285736,OBC_0,182.0
2024-02-15 12:50:35.704162,OBC_0,182.0
2024-02-15 12:50:36.139512,OBC_0,182.0
2024-02-15 12:50:36.557032,OBC_0,182.0
2024-02-15 12:50:36.972385,OBC_0,212.0
2024-02-15 12:50:37.423636,OBC_0,212.0
2024-02-15 12:50:37.884067,OBC_0,212.0
2024-02-15 12:50:38.279857,OBC_0,212.0
2024-02-15 12:50:43.212439,OBC_0,242.0
2024-02-15 12:50:43.632286,OBC_0,242.0
2024-02-15 12:50:44.043316,OBC_0,242.0
2024-02-15 12:50:44.495474,OBC_0,242.0
2024-02-15 12:50:48.350847,OBC_0,272.0
2024-02-16 12:50:48.868207,OBC_0,32.0
2024-02-16 12:50:50.506890,OBC_0,32.0
2024-02-16 12:50:52.195681,OBC_0,32.0
2024-02-16 12:50:53.845867,OBC_0,32.0
2024-02-16 12:51:08.937049,OBC_0,32.0
2024-02-16 12:51:09.329597,OBC_0,32.0
2024-02-16 12:51:37.879845,OBC_0,62.0
2024-02-16 12:51:38.292984,OBC_0,62.0
2024-02-16 12:51:38.711072,OBC_0,62.0
2024-02-16 12:51:44.391689,OBC_0,62.0
2024-02-16 12:51:44.820368,OBC_0,62.0
2024-02-16 12:51:45.272361,OBC_0,62.0
2024-02-16 12:51:48.207999,OBC_0,32.0
2024-02-16 12:51:48.640506,OBC_0,32.0
2024-02-16 12:51:49.050672,OBC_0,32.0
2024-02-16 12:51:59.409971,OBC_0,62.0
2024-02-16 12:51:59.847248,OBC_0,62.0
2024-02-16 12:52:00.280159,OBC_0,62.0
2024-02-16 12:52:18.091144,OBC_0,152.0
2024-02-16 12:52:18.504485,OBC_0,152.0
2024-02-16 12:52:18.914699,OBC_0,152.0
2024-02-16 12:53:12.101353,OBC_0,62.0
2024-02-16 12:53:12.586480,OBC_0,62.0
2024-02-16 12:53:13.069846,OBC_0,62.0
2024-02-16 12:53:17.258356,OBC_0,32.0
2024-02-16 12:53:17.653145,OBC_0,32.0
2024-02-16 12:53:18.080470,OBC_0,32.0
2024-02-16 12:53:31.062803,OBC_0,92.0
2024-02-16 12:53:31.512575,OBC_0,92.0
2024-02-16 12:53:31.948538,OBC_0,92.0
2024-02-16 12:53:32.454306,OBC_0,92.0
2024-02-16 12:53:39.821754,OBC_0,122.0
2024-02-16 12:53:40.208714,OBC_0,122.0
2024-02-16 12:53:40.645763,OBC_0,122.0
2024-02-16 12:53:41.072043,OBC_0,122.0
2024-02-16 12:53:50.248009,OBC_0,32.0
2024-02-16 12:53:50.664784,OBC_0,32.0
2024-02-16 12:53:51.237915,OBC_0,32.0
2024-02-16 12:53:51.678718,OBC_0,32.0
